year,mon,yearmon,num,sdev,obvs
1749,1,1749.042,96.7,-1,-1
1749,2,1749.123,104.3,-1,-1
1749,3,1749.204,116.7,-1,-1
1749,4,1749.288,92.8,-1,-1
1749,5,1749.371,141.7,-1,-1
1749,6,1749.455,139.2,-1,-1
1749,7,1749.538,158,-1,-1
1749,8,1749.623,110.5,-1,-1
1749,9,1749.707,126.5,-1,-1
1749,10,1749.79,125.8,-1,-1
1749,11,1749.874,264.3,-1,-1
1749,12,1749.958,142,-1,-1
1750,1,1750.042,122.2,-1,-1
1750,2,1750.123,126.5,-1,-1
1750,3,1750.204,148.7,-1,-1
1750,4,1750.288,147.2,-1,-1
1750,5,1750.371,150,-1,-1
1750,6,1750.455,166.7,-1,-1
1750,7,1750.538,142.3,-1,-1
1750,8,1750.623,171.7,-1,-1
1750,9,1750.707,152,-1,-1
1750,10,1750.79,109.5,-1,-1
1750,11,1750.874,105.5,-1,-1
1750,12,1750.958,125.7,-1,-1
1751,1,1751.042,116.7,-1,-1
1751,2,1751.123,72.5,-1,-1
1751,3,1751.204,75.5,-1,-1
1751,4,1751.288,94,-1,-1
1751,5,1751.371,101.2,-1,-1
1751,6,1751.455,84.5,-1,-1
1751,7,1751.538,110.5,-1,-1
1751,8,1751.623,99.7,-1,-1
1751,9,1751.707,39.2,-1,-1
1751,10,1751.79,38.7,-1,-1
1751,11,1751.874,47.5,-1,-1
1751,12,1751.958,73.3,-1,-1
1752,1,1752.042,58.3,-1,-1
1752,2,1752.124,83.3,-1,-1
1752,3,1752.206,118.3,-1,-1
1752,4,1752.29,98.8,-1,-1
1752,5,1752.373,99.5,-1,-1
1752,6,1752.456,66,-1,-1
1752,7,1752.54,130.7,-1,-1
1752,8,1752.624,48.8,-1,-1
1752,9,1752.708,45.2,-1,-1
1752,10,1752.791,77.7,-1,-1
1752,11,1752.874,62.7,-1,-1
1752,12,1752.958,66.7,-1,-1
1753,1,1753.042,73.3,-1,-1
1753,2,1753.123,53.3,-1,-1
1753,3,1753.204,76.2,-1,-1
1753,4,1753.288,63.3,-1,-1
1753,5,1753.371,60,-1,-1
1753,6,1753.455,52.8,-1,-1
1753,7,1753.538,36.7,-1,-1
1753,8,1753.623,65,-1,-1
1753,9,1753.707,46.7,-1,-1
1753,10,1753.79,41.7,-1,-1
1753,11,1753.874,33.3,-1,-1
1753,12,1753.958,11.2,-1,-1
1754,1,1754.042,0,-1,-1
1754,2,1754.123,5,-1,-1
1754,3,1754.204,2.8,-1,-1
1754,4,1754.288,22.8,-1,-1
1754,5,1754.371,34.5,-1,-1
1754,6,1754.455,44.5,-1,-1
1754,7,1754.538,31.3,-1,-1
1754,8,1754.623,20.5,-1,-1
1754,9,1754.707,13.7,-1,-1
1754,10,1754.79,40.2,-1,-1
1754,11,1754.874,22,-1,-1
1754,12,1754.958,7,-1,-1
1755,1,1755.042,17,-1,-1
1755,2,1755.123,18.7,-1,-1
1755,3,1755.204,11.3,-1,-1
1755,4,1755.288,10.8,-1,-1
1755,5,1755.371,0,-1,-1
1755,6,1755.455,0,-1,-1
1755,7,1755.538,14.3,-1,-1
1755,8,1755.623,5.3,-1,-1
1755,9,1755.707,29.7,-1,-1
1755,10,1755.79,39.5,-1,-1
1755,11,1755.874,11.3,-1,-1
1755,12,1755.958,33.3,-1,-1
1756,1,1756.042,20.8,-1,-1
1756,2,1756.124,11.8,-1,-1
1756,3,1756.206,9,-1,-1
1756,4,1756.29,15.7,-1,-1
1756,5,1756.373,20.8,-1,-1
1756,6,1756.456,21.5,-1,-1
1756,7,1756.54,6,-1,-1
1756,8,1756.624,10.7,-1,-1
1756,9,1756.708,19.7,-1,-1
1756,10,1756.791,23.8,-1,-1
1756,11,1756.874,28.3,-1,-1
1756,12,1756.958,15.7,-1,-1
1757,1,1757.042,23.5,-1,-1
1757,2,1757.123,35.3,-1,-1
1757,3,1757.204,43.7,-1,-1
1757,4,1757.288,50,-1,-1
1757,5,1757.371,63.5,-1,-1
1757,6,1757.455,21.3,-1,-1
1757,7,1757.538,41.7,-1,-1
1757,8,1757.623,85.5,-1,-1
1757,9,1757.707,66.2,-1,-1
1757,10,1757.79,54.2,-1,-1
1757,11,1757.874,107.8,-1,-1
1757,12,1757.958,55.8,-1,-1
1758,1,1758.042,62.7,-1,-1
1758,2,1758.123,86.7,-1,-1
1758,3,1758.204,81.7,-1,-1
1758,4,1758.288,120.5,-1,-1
1758,5,1758.371,77.3,-1,-1
1758,6,1758.455,75,-1,-1
1758,7,1758.538,73.3,-1,-1
1758,8,1758.623,64.5,-1,-1
1758,9,1758.707,104.2,-1,-1
1758,10,1758.79,62.8,-1,-1
1758,11,1758.874,71.7,-1,-1
1758,12,1758.958,71.7,-1,-1
1759,1,1759.042,80.5,-1,-1
1759,2,1759.123,73.3,-1,-1
1759,3,1759.204,78,-1,-1
1759,4,1759.288,78.3,-1,-1
1759,5,1759.371,81.7,-1,-1
1759,6,1759.455,83.3,-1,-1
1759,7,1759.538,85,-1,-1
1759,8,1759.623,118.8,-1,-1
1759,9,1759.707,128.7,-1,-1
1759,10,1759.79,99.5,-1,-1
1759,11,1759.874,77.2,-1,-1
1759,12,1759.958,95,-1,-1
1760,1,1760.042,112.2,-1,-1
1760,2,1760.124,99.2,-1,-1
1760,3,1760.206,124.5,-1,-1
1760,4,1760.29,97.2,-1,-1
1760,5,1760.373,120,-1,-1
1760,6,1760.456,80.5,-1,-1
1760,7,1760.54,110,-1,-1
1760,8,1760.624,126,-1,-1
1760,9,1760.708,102.2,-1,-1
1760,10,1760.791,84.3,-1,-1
1760,11,1760.874,99.5,-1,-1
1760,12,1760.958,101.7,-1,-1
1761,1,1761.042,116.7,-1,-1
1761,2,1761.123,151.7,-1,-1
1761,3,1761.204,134.5,-1,-1
1761,4,1761.288,119.5,-1,-1
1761,5,1761.371,178.7,-1,-1
1761,6,1761.455,165.5,-1,-1
1761,7,1761.538,156.8,-1,-1
1761,8,1761.623,151.8,-1,-1
1761,9,1761.707,167.8,-1,-1
1761,10,1761.79,147.8,-1,-1
1761,11,1761.874,149.5,-1,-1
1761,12,1761.958,76.7,-1,-1
1762,1,1762.042,73,-1,-1
1762,2,1762.123,121.3,-1,-1
1762,3,1762.204,76.2,-1,-1
1762,4,1762.288,100.3,-1,-1
1762,5,1762.371,66.5,-1,-1
1762,6,1762.455,128.5,-1,-1
1762,7,1762.538,56.3,-1,-1
1762,8,1762.623,112.8,-1,-1
1762,9,1762.707,114.2,-1,-1
1762,10,1762.79,115.5,-1,-1
1762,11,1762.874,129.7,-1,-1
1762,12,1762.958,128.7,-1,-1
1763,1,1763.042,94.2,-1,-1
1763,2,1763.123,53.2,-1,-1
1763,3,1763.204,57,-1,-1
1763,4,1763.288,54.8,-1,-1
1763,5,1763.371,54.5,-1,-1
1763,6,1763.455,59.7,-1,-1
1763,7,1763.538,90.3,-1,-1
1763,8,1763.623,44.2,-1,-1
1763,9,1763.707,113.5,-1,-1
1763,10,1763.79,77.2,-1,-1
1763,11,1763.874,101.5,-1,-1
1763,12,1763.958,102.3,-1,-1
1764,1,1764.042,99.5,-1,-1
1764,2,1764.124,99.5,-1,-1
1764,3,1764.206,67,-1,-1
1764,4,1764.29,57.3,-1,-1
1764,5,1764.373,73.8,-1,-1
1764,6,1764.456,50,-1,-1
1764,7,1764.54,50,-1,-1
1764,8,1764.624,50,-1,-1
1764,9,1764.708,47,-1,-1
1764,10,1764.791,46.7,-1,-1
1764,11,1764.874,43.3,-1,-1
1764,12,1764.958,42.8,-1,-1
1765,1,1765.042,40,-1,-1
1765,2,1765.123,43.3,-1,-1
1765,3,1765.204,41.7,-1,-1
1765,4,1765.288,36.7,-1,-1
1765,5,1765.371,33.7,-1,-1
1765,6,1765.455,33.3,-1,-1
1765,7,1765.538,45,-1,-1
1765,8,1765.623,49.5,-1,-1
1765,9,1765.707,26.7,-1,-1
1765,10,1765.79,23.3,-1,-1
1765,11,1765.874,23.3,-1,-1
1765,12,1765.958,21.7,-1,-1
1766,1,1766.042,20,-1,-1
1766,2,1766.123,18.3,-1,-1
1766,3,1766.204,61,-1,-1
1766,4,1766.288,10,-1,-1
1766,5,1766.371,44.7,-1,-1
1766,6,1766.455,5,-1,-1
1766,7,1766.538,5.5,-1,-1
1766,8,1766.623,6.7,-1,-1
1766,9,1766.707,7.2,-1,-1
1766,10,1766.79,8.3,-1,-1
1766,11,1766.874,9.5,-1,-1
1766,12,1766.958,32,-1,-1
1767,1,1767.042,45.7,-1,-1
1767,2,1767.123,50,-1,-1
1767,3,1767.204,71.7,-1,-1
1767,4,1767.288,54.8,-1,-1
1767,5,1767.371,49.7,-1,-1
1767,6,1767.455,55.5,-1,-1
1767,7,1767.538,36.5,-1,-1
1767,8,1767.623,68,-1,-1
1767,9,1767.707,71.2,-1,-1
1767,10,1767.79,73.5,-1,-1
1767,11,1767.874,91.2,-1,-1
1767,12,1767.958,88.8,-1,-1
1768,1,1768.042,89.2,-1,-1
1768,2,1768.124,110.2,-1,-1
1768,3,1768.206,77.2,-1,-1
1768,4,1768.29,71.2,-1,-1
1768,5,1768.373,129.5,-1,-1
1768,6,1768.456,129,-1,-1
1768,7,1768.54,87.7,-1,-1
1768,8,1768.624,111.3,-1,-1
1768,9,1768.708,124.7,-1,-1
1768,10,1768.791,129.7,-1,-1
1768,11,1768.874,151,-1,-1
1768,12,1768.958,186.3,-1,-1
1769,1,1769.042,123.2,-1,-1
1769,2,1769.123,107,-1,-1
1769,3,1769.204,107.2,-1,-1
1769,4,1769.288,161.2,-1,-1
1769,5,1769.371,122.7,-1,-1
1769,6,1769.455,157.3,-1,-1
1769,7,1769.538,197.7,-1,-1
1769,8,1769.623,200.5,-1,-1
1769,9,1769.707,248,-1,-1
1769,10,1769.79,263.7,-1,-1
1769,11,1769.874,246.8,-1,-1
1769,12,1769.958,186.7,-1,-1
1770,1,1770.042,173.3,-1,-1
1770,2,1770.123,237.5,-1,-1
1770,3,1770.204,133.5,-1,-1
1770,4,1770.288,85,-1,-1
1770,5,1770.371,116.8,-1,-1
1770,6,1770.455,138.8,-1,-1
1770,7,1770.538,183,-1,-1
1770,8,1770.623,210.5,-1,-1
1770,9,1770.707,174,-1,-1
1770,10,1770.79,172.7,-1,-1
1770,11,1770.874,220.3,-1,-1
1770,12,1770.958,170.5,-1,-1
1771,1,1771.042,60,-1,-1
1771,2,1771.123,77,-1,-1
1771,3,1771.204,77.8,-1,-1
1771,4,1771.288,108.2,-1,-1
1771,5,1771.371,254.5,-1,-1
1771,6,1771.455,199.2,-1,-1
1771,7,1771.538,112.8,-1,-1
1771,8,1771.623,97.5,-1,-1
1771,9,1771.707,169,-1,-1
1771,10,1771.79,150,-1,-1
1771,11,1771.874,166.2,-1,-1
1771,12,1771.958,159.5,-1,-1
1772,1,1772.042,168.2,-1,-1
1772,2,1772.124,151.3,-1,-1
1772,3,1772.206,51.8,-1,-1
1772,4,1772.29,153.7,-1,-1
1772,5,1772.373,63.3,-1,-1
1772,6,1772.456,95,-1,-1
1772,7,1772.54,128.8,-1,-1
1772,8,1772.624,93.7,-1,-1
1772,9,1772.708,84.2,-1,-1
1772,10,1772.791,131,-1,-1
1772,11,1772.874,102.2,-1,-1
1772,12,1772.958,106.7,-1,-1
1773,1,1773.042,91,-1,-1
1773,2,1773.123,48.3,-1,-1
1773,3,1773.204,85.3,-1,-1
1773,4,1773.288,54.8,-1,-1
1773,5,1773.371,68.5,-1,-1
1773,6,1773.455,47.3,-1,-1
1773,7,1773.538,46.2,-1,-1
1773,8,1773.623,21.2,-1,-1
1773,9,1773.707,48.8,-1,-1
1773,10,1773.79,43.8,-1,-1
1773,11,1773.874,68.2,-1,-1
1773,12,1773.958,72,-1,-1
1774,1,1774.042,78,-1,-1
1774,2,1774.123,109,-1,-1
1774,3,1774.204,92.8,-1,-1
1774,4,1774.288,73,-1,-1
1774,5,1774.371,85.5,-1,-1
1774,6,1774.455,47.5,-1,-1
1774,7,1774.538,29.2,-1,-1
1774,8,1774.623,11,-1,-1
1774,9,1774.707,13.2,-1,-1
1774,10,1774.79,23.3,-1,-1
1774,11,1774.874,29.5,-1,-1
1774,12,1774.958,20.3,-1,-1
1775,1,1775.042,7.3,-1,-1
1775,2,1775.123,0,-1,-1
1775,3,1775.204,19.3,-1,-1
1775,4,1775.288,18.7,-1,-1
1775,5,1775.371,6.5,-1,-1
1775,6,1775.455,20.5,-1,-1
1775,7,1775.538,1.7,-1,-1
1775,8,1775.623,13.2,-1,-1
1775,9,1775.707,5.3,-1,-1
1775,10,1775.79,9.3,-1,-1
1775,11,1775.874,25.2,-1,-1
1775,12,1775.958,13.2,-1,-1
1776,1,1776.042,36.2,-1,-1
1776,2,1776.124,19.3,-1,-1
1776,3,1776.206,10.5,-1,-1
1776,4,1776.29,36.3,-1,-1
1776,5,1776.373,18.7,-1,-1
1776,6,1776.456,31.7,-1,-1
1776,7,1776.54,1.7,-1,-1
1776,8,1776.624,40.3,-1,-1
1776,9,1776.708,26.7,-1,-1
1776,10,1776.791,50,-1,-1
1776,11,1776.874,58.3,-1,-1
1776,12,1776.958,66.7,-1,-1
1777,1,1777.042,75,-1,-1
1777,2,1777.123,60.8,-1,-1
1777,3,1777.204,65,-1,-1
1777,4,1777.288,159.2,-1,-1
1777,5,1777.371,133.8,-1,-1
1777,6,1777.455,134.5,-1,-1
1777,7,1777.538,158.3,-1,-1
1777,8,1777.623,186.7,-1,-1
1777,9,1777.707,193.7,-1,-1
1777,10,1777.79,177.5,-1,-1
1777,11,1777.874,243.3,-1,-1
1777,12,1777.958,262.2,-1,-1
1778,1,1778.042,295.5,-1,-1
1778,2,1778.123,182.2,-1,-1
1778,3,1778.204,223.3,-1,-1
1778,4,1778.288,241.7,-1,-1
1778,5,1778.371,398.2,-1,-1
1778,6,1778.455,286,-1,-1
1778,7,1778.538,255,-1,-1
1778,8,1778.623,233.3,-1,-1
1778,9,1778.707,286.2,-1,-1
1778,10,1778.79,260.5,-1,-1
1778,11,1778.874,250.5,-1,-1
1778,12,1778.958,175,-1,-1
1779,1,1779.042,191.2,-1,-1
1779,2,1779.123,276.2,-1,-1
1779,3,1779.204,196.7,-1,-1
1779,4,1779.288,241.7,-1,-1
1779,5,1779.371,233.3,-1,-1
1779,6,1779.455,189.5,-1,-1
1779,7,1779.538,238.3,-1,-1
1779,8,1779.623,186.7,-1,-1
1779,9,1779.707,185,-1,-1
1779,10,1779.79,206.7,-1,-1
1779,11,1779.874,190,-1,-1
1779,12,1779.958,183.3,-1,-1
1780,1,1780.042,116.7,-1,-1
1780,2,1780.124,163.3,-1,-1
1780,3,1780.206,163.3,-1,-1
1780,4,1780.29,158.3,-1,-1
1780,5,1780.373,178.7,-1,-1
1780,6,1780.456,146.7,-1,-1
1780,7,1780.54,143.3,-1,-1
1780,8,1780.624,143.3,-1,-1
1780,9,1780.708,156.2,-1,-1
1780,10,1780.791,128.3,-1,-1
1780,11,1780.874,100,-1,-1
1780,12,1780.958,97.8,-1,-1
1781,1,1781.042,164.5,-1,-1
1781,2,1781.123,124.5,-1,-1
1781,3,1781.204,88.3,-1,-1
1781,4,1781.288,113.8,-1,-1
1781,5,1781.371,174.5,-1,-1
1781,6,1781.455,162.8,-1,-1
1781,7,1781.538,122.5,-1,-1
1781,8,1781.623,110,-1,-1
1781,9,1781.707,85,-1,-1
1781,10,1781.79,45.5,-1,-1
1781,11,1781.874,111.7,-1,-1
1781,12,1781.958,58.7,-1,-1
1782,1,1782.042,90,-1,-1
1782,2,1782.123,62.5,-1,-1
1782,3,1782.204,61.7,-1,-1
1782,4,1782.288,68.3,-1,-1
1782,5,1782.371,90.5,-1,-1
1782,6,1782.455,63.3,-1,-1
1782,7,1782.538,61.7,-1,-1
1782,8,1782.623,73.3,-1,-1
1782,9,1782.707,56.7,-1,-1
1782,10,1782.79,38.7,-1,-1
1782,11,1782.874,52.5,-1,-1
1782,12,1782.958,50,-1,-1
1783,1,1783.042,46.7,-1,-1
1783,2,1783.123,64.5,-1,-1
1783,3,1783.204,44.5,-1,-1
1783,4,1783.288,47.2,-1,-1
1783,5,1783.371,38.3,-1,-1
1783,6,1783.455,42,-1,-1
1783,7,1783.538,53.7,-1,-1
1783,8,1783.623,33.3,-1,-1
1783,9,1783.707,30,-1,-1
1783,10,1783.79,13.3,-1,-1
1783,11,1783.874,25,-1,-1
1783,12,1783.958,17.5,-1,-1
1784,1,1784.042,21.7,-1,-1
1784,2,1784.124,13.3,-1,-1
1784,3,1784.206,18.3,-1,-1
1784,4,1784.29,16.7,-1,-1
1784,5,1784.373,10,-1,-1
1784,6,1784.456,15,-1,-1
1784,7,1784.54,10,-1,-1
1784,8,1784.624,16.7,-1,-1
1784,9,1784.708,16.7,-1,-1
1784,10,1784.791,13.3,-1,-1
1784,11,1784.874,28.3,-1,-1
1784,12,1784.958,23.3,-1,-1
1785,1,1785.042,10.8,-1,-1
1785,2,1785.123,13.3,-1,-1
1785,3,1785.204,15,-1,-1
1785,4,1785.288,26.2,-1,-1
1785,5,1785.371,34.5,-1,-1
1785,6,1785.455,43.8,-1,-1
1785,7,1785.538,60.5,-1,-1
1785,8,1785.623,33.3,-1,-1
1785,9,1785.707,53.3,-1,-1
1785,10,1785.79,78.7,-1,-1
1785,11,1785.874,67,-1,-1
1785,12,1785.958,45.5,-1,-1
1786,1,1786.042,62,-1,-1
1786,2,1786.123,79.3,-1,-1
1786,3,1786.204,79.5,-1,-1
1786,4,1786.288,142.3,-1,-1
1786,5,1786.371,153.8,-1,-1
1786,6,1786.455,98.3,-1,-1
1786,7,1786.538,138.3,-1,-1
1786,8,1786.623,149.5,-1,-1
1786,9,1786.707,185.8,-1,-1
1786,10,1786.79,187.2,-1,-1
1786,11,1786.874,193.3,-1,-1
1786,12,1786.958,187.8,-1,-1
1787,1,1787.042,224.5,-1,-1
1787,2,1787.123,176.7,-1,-1
1787,3,1787.204,145.7,-1,-1
1787,4,1787.288,212,-1,-1
1787,5,1787.371,224.7,-1,-1
1787,6,1787.455,165.3,-1,-1
1787,7,1787.538,213.3,-1,-1
1787,8,1787.623,228.7,-1,-1
1787,9,1787.707,262.2,-1,-1
1787,10,1787.79,261.7,-1,-1
1787,11,1787.874,235.8,-1,-1
1787,12,1787.958,290,-1,-1
1788,1,1788.042,230,-1,-1
1788,2,1788.124,215.3,-1,-1
1788,3,1788.206,238.8,-1,-1
1788,4,1788.29,180.8,-1,-1
1788,5,1788.373,188.3,-1,-1
1788,6,1788.456,257,-1,-1
1788,7,1788.54,235.8,-1,-1
1788,8,1788.624,226.7,-1,-1
1788,9,1788.708,235,-1,-1
1788,10,1788.791,236.7,-1,-1
1788,11,1788.874,157.8,-1,-1
1788,12,1788.958,215.8,-1,-1
1789,1,1789.042,190,-1,-1
1789,2,1789.123,208.8,-1,-1
1789,3,1789.204,200,-1,-1
1789,4,1789.288,205.5,-1,-1
1789,5,1789.371,205.8,-1,-1
1789,6,1789.455,200,-1,-1
1789,7,1789.538,195,-1,-1
1789,8,1789.623,171.7,-1,-1
1789,9,1789.707,186.7,-1,-1
1789,10,1789.79,149.5,-1,-1
1789,11,1789.874,223.3,-1,-1
1789,12,1789.958,225.8,-1,-1
1790,1,1790.042,171.7,-1,-1
1790,2,1790.123,212.5,-1,-1
1790,3,1790.204,160.5,-1,-1
1790,4,1790.288,156.7,-1,-1
1790,5,1790.371,155,-1,-1
1790,6,1790.455,151.7,-1,-1
1790,7,1790.538,115.5,-1,-1
1790,8,1790.623,145,-1,-1
1790,9,1790.707,128.8,-1,-1
1790,10,1790.79,140.5,-1,-1
1790,11,1790.874,136.7,-1,-1
1790,12,1790.958,123.3,-1,-1
1791,1,1791.042,121.2,-1,-1
1791,2,1791.123,103.3,-1,-1
1791,3,1791.204,123.3,-1,-1
1791,4,1791.288,128.7,-1,-1
1791,5,1791.371,122.8,-1,-1
1791,6,1791.455,107,-1,-1
1791,7,1791.538,118.3,-1,-1
1791,8,1791.623,71.7,-1,-1
1791,9,1791.707,110.8,-1,-1
1791,10,1791.79,102.8,-1,-1
1791,11,1791.874,111.7,-1,-1
1791,12,1791.958,110,-1,-1
1792,1,1792.042,96.7,-1,-1
1792,2,1792.124,106.7,-1,-1
1792,3,1792.206,105,-1,-1
1792,4,1792.29,126.2,-1,-1
1792,5,1792.373,103.3,-1,-1
1792,6,1792.456,101.7,-1,-1
1792,7,1792.54,76.3,-1,-1
1792,8,1792.624,100,-1,-1
1792,9,1792.708,98.3,-1,-1
1792,10,1792.791,98.3,-1,-1
1792,11,1792.874,95,-1,-1
1792,12,1792.958,93.3,-1,-1
1793,1,1793.042,93.3,-1,-1
1793,2,1793.123,91.7,-1,-1
1793,3,1793.204,92.5,-1,-1
1793,4,1793.288,88.3,-1,-1
1793,5,1793.371,87.2,-1,-1
1793,6,1793.455,85,-1,-1
1793,7,1793.538,83.3,-1,-1
1793,8,1793.623,48.8,-1,-1
1793,9,1793.707,40,-1,-1
1793,10,1793.79,78.3,-1,-1
1793,11,1793.874,73.3,-1,-1
1793,12,1793.958,76.2,-1,-1
1794,1,1794.042,75,-1,-1
1794,2,1794.123,73.3,-1,-1
1794,3,1794.204,63.3,-1,-1
1794,4,1794.288,47.3,-1,-1
1794,5,1794.371,92.8,-1,-1
1794,6,1794.455,69.2,-1,-1
1794,7,1794.538,68.3,-1,-1
1794,8,1794.623,66.7,-1,-1
1794,9,1794.707,18.5,-1,-1
1794,10,1794.79,47.5,-1,-1
1794,11,1794.874,112.3,-1,-1
1794,12,1794.958,85.7,-1,-1
1795,1,1795.042,35.7,-1,-1
1795,2,1795.123,66.5,-1,-1
1795,3,1795.204,21,-1,-1
1795,4,1795.288,31,-1,-1
1795,5,1795.371,51.7,-1,-1
1795,6,1795.455,28.5,-1,-1
1795,7,1795.538,21.5,-1,-1
1795,8,1795.623,42.8,-1,-1
1795,9,1795.707,22.5,-1,-1
1795,10,1795.79,32.5,-1,-1
1795,11,1795.874,41.7,-1,-1
1795,12,1795.958,30,-1,-1
1796,1,1796.042,36.7,-1,-1
1796,2,1796.124,39.7,-1,-1
1796,3,1796.206,26.2,-1,-1
1796,4,1796.29,52.8,-1,-1
1796,5,1796.373,35,-1,-1
1796,6,1796.456,11.2,-1,-1
1796,7,1796.54,44.8,-1,-1
1796,8,1796.624,2.5,-1,-1
1796,9,1796.708,30.7,-1,-1
1796,10,1796.791,18.3,-1,-1
1796,11,1796.874,14,-1,-1
1796,12,1796.958,8.5,-1,-1
1797,1,1797.042,24,-1,-1
1797,2,1797.123,7,-1,-1
1797,3,1797.204,6.7,-1,-1
1797,4,1797.288,6.7,-1,-1
1797,5,1797.371,12.2,-1,-1
1797,6,1797.455,18.5,-1,-1
1797,7,1797.538,7.2,-1,-1
1797,8,1797.623,10,-1,-1
1797,9,1797.707,9.5,-1,-1
1797,10,1797.79,11.5,-1,-1
1797,11,1797.874,9.7,-1,-1
1797,12,1797.958,5,-1,-1
1798,1,1798.042,3.3,-1,-1
1798,2,1798.123,6.7,-1,-1
1798,3,1798.204,20.7,-1,-1
1798,4,1798.288,1.8,-1,-1
1798,5,1798.371,0,-1,-1
1798,6,1798.455,0,-1,-1
1798,7,1798.538,0,-1,-1
1798,8,1798.623,5,-1,-1
1798,9,1798.707,4,-1,-1
1798,10,1798.79,2.5,-1,-1
1798,11,1798.874,20.8,-1,-1
1798,12,1798.958,16.5,-1,-1
1799,1,1799.042,2.7,-1,-1
1799,2,1799.123,21,-1,-1
1799,3,1799.204,36.2,-1,-1
1799,4,1799.288,14,-1,-1
1799,5,1799.371,13.7,-1,-1
1799,6,1799.455,17.7,-1,-1
1799,7,1799.538,3.5,-1,-1
1799,8,1799.623,0,-1,-1
1799,9,1799.707,0,-1,-1
1799,10,1799.79,7.7,-1,-1
1799,11,1799.874,4.5,-1,-1
1799,12,1799.958,14.3,-1,-1
1800,1,1800.042,11.5,-1,-1
1800,2,1800.123,15.5,-1,-1
1800,3,1800.204,23.2,-1,-1
1800,4,1800.288,0,-1,-1
1800,5,1800.371,8.3,-1,-1
1800,6,1800.455,39.5,-1,-1
1800,7,1800.538,35,-1,-1
1800,8,1800.623,32.5,-1,-1
1800,9,1800.707,19.2,-1,-1
1800,10,1800.79,20.5,-1,-1
1800,11,1800.874,17.5,-1,-1
1800,12,1800.958,66.8,-1,-1
1801,1,1801.042,45,-1,-1
1801,2,1801.123,48.3,-1,-1
1801,3,1801.204,50,-1,-1
1801,4,1801.288,51.7,-1,-1
1801,5,1801.371,53.3,-1,-1
1801,6,1801.455,52,-1,-1
1801,7,1801.538,58.3,-1,-1
1801,8,1801.623,64.5,-1,-1
1801,9,1801.707,55.8,-1,-1
1801,10,1801.79,54.3,-1,-1
1801,11,1801.874,66.3,-1,-1
1801,12,1801.958,80.3,-1,-1
1802,1,1802.042,79.7,-1,-1
1802,2,1802.123,78.3,-1,-1
1802,3,1802.204,68,-1,-1
1802,4,1802.288,70,-1,-1
1802,5,1802.371,73.3,-1,-1
1802,6,1802.455,76.7,-1,-1
1802,7,1802.538,80,-1,-1
1802,8,1802.623,83.3,-1,-1
1802,9,1802.707,86.3,-1,-1
1802,10,1802.79,64.2,-1,-1
1802,11,1802.874,57.5,-1,-1
1802,12,1802.958,83.3,-1,-1
1803,1,1803.042,83.3,-1,-1
1803,2,1803.123,84.7,-1,-1
1803,3,1803.204,49.2,-1,-1
1803,4,1803.288,41.7,-1,-1
1803,5,1803.371,73.8,-1,-1
1803,6,1803.455,60,-1,-1
1803,7,1803.538,80.5,-1,-1
1803,8,1803.623,56.8,-1,-1
1803,9,1803.707,75.5,-1,-1
1803,10,1803.79,90.5,-1,-1
1803,11,1803.874,85,-1,-1
1803,12,1803.958,80,-1,-1
1804,1,1804.042,75.5,-1,-1
1804,2,1804.124,80.5,-1,-1
